,,,,,,
1. A.I.,Neural Information Processing Systems (NIPS),,,,,
,International Conference on Machine Learning (ICML),,,,,
,Expert Systems with Applications,,,,,
,"IEEE Transactions On Systems, Man And Cybernetics Part B, Cybernetics",,,,,
,IEEE Transactions on Neural Networks and Learning Systems,,,,,
,The Journal of Machine Learning Research,,,,,
,Applied Soft Computing,,,,,
,IEEE Transactions on Fuzzy Systems,,,,,
,Knowledge-Based Systems,,,,,
,Neurocomputing,,,,,
,AAAI Conference on Artificial Intelligence,,,,,
,International Joint Conference on Artificial Intelligence (IJCAI),,,,,
,Neural Networks,,,,,
,Neural Computing and Applications,,,,,
,Engineering Applications of Artificial Intelligence,,,,,
,Robotics and Autonomous Systems,Robotic,,,,
,Artificial Intelligence,,,,,
,Conference on Learning Theory (COLT),,,,,
,International Conference on Artificial Intelligence and Statistics,,,,,
,Journal of Intelligent & Robotic Systems,Robotic,,,,
2. Bioinformatics,PLOS Computational Biology,,,,,
,BMC Bioinformatics,,,,,
,Briefings in Bioinformatics,,,,,
,Database: The Journal of Biological Databases & Curation,,,,,
,Journal of Theoretical Biology,,,,,
,BMC Systems Biology,,,,,
,GigaScience,,,,,
,IEEE/ACM Transactions on Computational Biology and Bioinformatics,,,,,
,"Genomics, Proteomics & Bioinformatics",,,,,
,Journal of Mathematical Biology,,,,,
,Mathematical Biosciences,,,,,
,Journal of Biomedical Semantics,,,,,
,Journal of Computational Biology,,,,,
,International Conference on Research in Computational Molecular Biology,,,,,
,Mathematical biosciences and engineering: MBE,,,,,
,Algorithms for Molecular Biology,,,,,
,Pacific Symposium on Biocomputing,,,,,
,Computational Biology and Chemistry,,,,,
,Genomics & Informatics,,,,,
3. Computational Linguistics ,Meeting of the Association for Computational Linguistics (ACL),,,,,
,Conference on Empirical Methods in Natural Language Processing (EMNLP),,,,,
,Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (HLT-NAACL),,,,,
,International Workshop on Semantic Evaluation,,,,,
,Transactions of the Association for Computational Linguistics,,,,,
,International Conference on Language Resources and Evaluation (LREC),,,,,
,Computer Speech & Language,,,,,
,Computational Linguistics,,,,,
,International Conference on Computational Linguistics (COLING),,,,,
,Conference of the European Chapter of the Association for Computational Linguistics (EACL),,,,,
,Conference on Computational Natural Language Learning (CoNLL),,,,,
,Workshop on Machine Translation,,,,,
,Language Resources and Evaluation,,,,,
,Annual Meeting of the Special Interest Group on Discourse and Dialogue (SIGDIAL),,,,,
,IEEE Spoken Language Technology Workshop (SLT),,,,,
,International Conference on Computational Linguistics and Intelligent Text Processing,,,,,
,International Joint Conference on Natural Language Processing (IJCNLP),,,,,
,"Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis",,,,,
,Natural Language Engineering,,,,,
,BioNLP@ ACL,,,,,
4. Computer Graphs,ACM Transactions on Graphics (TOG),,,,,
